PRICE_PER_NIGHT,TAX_AMOUNT,ACCOM_NAME_EN,ACCOM_TYPE_CODE,BOOKING_PROVIDER_NAME_EN,ROOM_TYPE_CODE,CITY_NAME_EN,REVIEW_SCORE_NAME_EN,STAR_RATING_CODE
10.8,8.1,Millennium Makkah Al Naseem,Hotel,AGODA.COM,Standard Room,Mecca,Very Good,5
11.2,8.4,M Hotel Makkah By Millennium,Hotel,EXPEDIA,Standard Room,Mecca,Good,5
9.2,6.9,Wirgan Hotel Al Nour,Hotel,AGODA.COM,Superior Room,Mecca,Very Good,4
9.4,7.05,Elaf Bakkah Hotel,Hotel,BOOKING.COM,King Bed Room,Mecca,Very Good,4
9.4,7.05,Elaf Bakkah Hotel,Hotel,KAYAK,King Bed Room,Mecca,Very Good,4
9.8,7.35,Four Points by Sheraton Makkah Al Naseem,Hotel,SHERATON,Classic Room,Mecca,Very Good,4
9.8,7.35,Four Points by Sheraton Makkah Al Naseem,Hotel,HOTELS.COM,Classic Room,Mecca,Very Good,4
9.8,7.35,Park Inn Makkah Al Naseem,Hotel,STAYFORLONG,Twin Room,Mecca,Very Good,5
9.8,7.35,M Hotel Al Dana Makkah by Millennium,Hotel,EXPEDIA,Standard Room,Mecca,Very Good,4
9.8,7.35,Four Points by Sheraton Makkah Al Naseem,Hotel,BOOKING.COM,Superior Room,Mecca,Very Good,4
9.8,7.35,Four Points by Sheraton Makkah Al Naseem,Hotel,KAYAK,Superior Room,Mecca,Very Good,4
10,7.5,Park Inn By Radisson Makkah Thakher East,Hotel,HOTELS.COM,Standard Room,Mecca,Very Good,4
10,7.5,Makarem Umm Al Qura Hotel,Hotel,AGODA.COM,Superior Room,Mecca,Good,5
10,7.5,Makarem Umm Al Qura Hotel,Hotel,PRICELINE,Superior Room,Mecca,Good,5
11.6,8.7,Time Ruba Hotel & Suites,Hotel,KAYAK,Deluxe Room,Mecca,Very Good,4
11.6,8.7,Park Inn By Radisson Makkah Thakher East,Hotel,AGODA.COM,Superior Room,Mecca,Very Good,4
11.8,8.85,Elaf Ajyad Hotel,Hotel,BOOKING.COM,Double Room,Mecca,Okay,2
11.8,8.85,Elaf Ajyad Hotel,Hotel,KAYAK,Double Room,Mecca,Okay,2
12,9,voco Makkah,Hotel,PRICELINE,Deluxe Room,Mecca,Very Good,4
12,9,voco Makkah,Hotel,EXPEDIA,Deluxe Room,Mecca,Very Good,4
12,9,voco Makkah,Hotel,BOOKING.COM,Deluxe Room,Mecca,Very Good,4
12,9,Millennium Makkah Al Naseem,Hotel,PRICELINE,Standard Room,Mecca,Very Good,5
